Year,Banks,Gross_NPAs_Addition_during_the_Year,Gross_NPAs_Closing_Balance,Net_NPA_Closing_Balance,Cash_in_hand,Balances_with_RBI,Money_at_call_and_short_notice,Advances,Total_Assets,Deposits,Credit_-_Deposit_Ratio,Ratio_of_demand_&_savings_bank_deposits_to_total_deposits,Ratio_of_priority_sector_advances_to_total_advances,Ratio_of_net_interest_income_to_total_assets_(Net_Interest_Margin),Return_on_assets,Return_on_equity,Cost_of_deposits,Business_per_employee(in_Rupees_Lakh),Capital_adequacy_ratio,Ratio_of_net_NPA_To_net_advances,Interest_Expended,Operating_Expenses,Net_Interest_Income,Provisions_and_Contingencies,Operating_Profit,Profit_(Loss)_during_the_year,Category,PCR,Credit_Growth_(%),GDP,Growth_rate,Repo_rate,GNPA_Ratio,Next_Year,Next_GNPA_Ratio,Consecutive_Year,Delta_GNPA_Ratio,Deterioration_Flag,Credit_Growth_Recorded_ORIGINAL,PCR_FLAG,PCR_flow_over_stock_check,GDP_ORIGINAL,Growth_rate_ORIGINAL,Real_GDP_Growth_pct,GVA_Growth_pct,Investment_Rate_pct_of_GDP,PCR_stock_based,PCR_ORIGINAL_UNRELIABLE
2014,ANDHRA BANK,3714.49,5857.6,3342.47,511.5661,7400.4921,,107644.2002,167340.9251,141845.1238,75.888545,24.805891,37.761019,2.383201,0.29,5.071149,7.415499,1347,10.78,3.11,10559.98,2309.94,3737.33,2324.6646,2760.2417,435.5771,Public Sector Bank,42.9378926522808,9.42420260960848,13,11.9,8,5.44163084412977,2015,5.45953310381007,TRUE,0.0179022596802989,0,12.3132003203277,OK,39.686298142584,13,11.9,6.38610640092723,6.05378518913893,35.1811624629026,42.9378926522808,39.686298142584
2015,ANDHRA BANK,5857.6,6876.54,3688.63,675.6048,6841.7989,,125954.7267,185170.3486,155012.2446,81.254695,27.353868,35.447939,2.574688,0.38,6.791338,7.351153,1536,10.63,2.93,11830.57,2739.44,4538.03,2659.996,3298.434,638.438000000002,Public Sector Bank,46.35921553572,17.0102304313465,11,6.5,7.5,5.45953310381007,2016,8.74976251433231,TRUE,3.29022941052224,1,21.2808289581254,OK,38.6821860994046,11,6.5,7.41022760516221,7.15478063868049,34.7632630741904,46.35921553572,38.6821860994046
2016,ANDHRA BANK,6876.54,11443.63,6035.65,884.7228,7906.2907,,130787.8926,199961.7586,174302.4023,75.0350487854406,26.0839934505022,41.2435373241881,2.7631891501774,0.28,5.12702521476328,6.92668140173148,1665,11.58,4.61,12313.71,2925.44,5320.96,3420.1663,3960.003,539.8367,Public Sector Bank,47.2575572611138,3.83722471290156,10.5,5.1,6.75,8.74976251433231,2017,12.9122787108415,TRUE,4.16251619650924,1,14.9424059365762,OK,29.8870751675823,10.5,5.1,7.99625378567371,8.02848944993222,34.4549951026575,47.2575572611138,29.8870751675823
2017,ANDHRA BANK,11443.63,17669.98,10354.81,961.5065,8361.0845,8300,136846.3336,223099.3786,195441.2451,70.0191679243452,29.3260047901731,44.5644831656637,2.61505641317507,0.08,1.55924796533136,6.32456410392407,1752,12.38,7.57,12495.7744,3451.9935,5531.6437,4213.6235,4387.9556,174.3321,Public Sector Bank,41.3988584027826,4.632264408854,11.8,4.4,6.25,12.9122787108415,2018,18.8672894970537,TRUE,5.95501078621216,1,4.63226440885401,OK,23.8462267642635,11.8,4.4,8.256306,7.972023,34.943218,41.3988584027826,23.8462267642635
2018,ANDHRA BANK,17669.98,28124.36,12636.87,1129.7021,8781.3465,5900,149064.125,242171.3712,208070.4786,71.6411698588749,31.0455227645158,44.8873542175222,2.7230417569654,-1.46,-30.76435303339,5.34543591502593,1870,11,8.48,11639.7796,3345.7885,6334.7584,8773.5593,5361.0317,-3412.5276,Public Sector Bank,55.0678842114096,8.92811014996751,11,2.2,6,18.8672894970537,2019,18.2429667275879,TRUE,-0.624322769465781,0,52.0459524616452,OK,31.1955873840329,11,2.2,6.795383,6.231181,37.452479,55.0678842114096,31.1955873840329
2019,ANDHRA BANK,28124.36,28973.97,9091.4,984.6105,9142.1628,4800,158822.6873,249311.4154,219821,72.2509165639316,31.3883933291178,47.3234313546337,2.72979204273113,-1.09,-23.2337851813319,5.363988288595,1958,13.68,5.73,12223.9915,3730.1489,6708.229,7809.2476,5023.1204,-2786.1272,Public Sector Bank,68.6221805296271,6.54655323673621,10.6,0.7,6.25,18.2429667275879,2020,18.1996420361052,TRUE,-0.0433246914827024,0,11.7896319992361,OK,26.9526323110019,10.6,0.7,6.45,5.81,37.347347,68.6221805296271,26.9526323110019
2020,ANDHRA BANK,28973.97,28708.54,7764.52,1213.5088,6515.7917,,157742.3333,243871.0617,212609.3768,74.1934978006106,34.5490548467663,44.6724397476628,2.83411959041803,-0.5,-10.4291003707581,5.62609009571318,1921,11.12,4.92,12795.49,4639.04,6988.69,6416.7271,5092.595,-1324.1321,Public Sector Bank,72.9539711876675,-0.680226495575731,6.4,6,4.4,18.1996420361052,,,FALSE,,,-23.3467623046527,OK,22.3512832766835,6.4,6,3.871437,3.944641,33.785447,72.9539711876675,22.3512832766835
2005,AXIS BANK LTD,274.72,311.1,216.85,272.9047,3175.8364,460.213,15602.9219,37743.6908,31712.0001,49.201948,37.984661,28.222843,2.362682,1.21,18.806946,4.061727,1021,12.66,1.39,1192.9808,581.3789,731.1774,231.0404,565.6181,334.5777,Private Sector Bank,30.295724847316,,14.1,2.6,6,1.99385731719903,2006,1.69376220118261,TRUE,-0.300095116016417,0,34.5624186564777,OK,74.2656380585021,14.1,2.6,7.92293807295951,7.05093547208952,29.739689583569,30.295724847316,74.2656380585021
2006,AXIS BANK LTD,324.77,377.95,219.83,489.8297,1939.5667,699.78,22314.2304,49731.1167,40113.5313,55.627689,39.975341,34.641269,2.465246,1.18,18.280116,4.320753,1020,11.08,0.98,1810.556,814.0507,1078.2344,508.7344,993.8181,485.0837,Private Sector Bank,41.8362217224501,43.0131519148346,14,3.9,6.5,1.69376220118261,2007,1.13533060549548,TRUE,-0.558431595687131,0,25.7141619655489,ABOVE_100_SUSPECT,134.603624818098,14,3.9,7.92342866735518,8.28129114504204,32.8676900977815,41.8362217224501,134.603624818098
2007,AXIS BANK LTD,377.95,418.67,266.33,836.7508,3824.2795,1222.3796,36876.4832,73257.2155,58785.6011,62.730469,39.857026,35.785224,2.387768,1.1,20.962017,5.017008,1024,11.57,0.72,2993.3172,1214.5984,1468.338,604.8226,1263.8509,659.0283,Private Sector Bank,36.3866529725082,65.2599374433277,17.1,7.8,7.75,1.13533060549548,2008,0.82903203301936,TRUE,-0.306298572476123,0,90.6300429812903,ABOVE_100_SUSPECT,144.462846633387,17.1,7.8,8.06072889963741,8.05441849702261,33.498253505701,36.3866529725082,144.462846633387
2008,AXIS BANK LTD,418.67,494.61,248.29,1520.3276,5785.3293,468.0398,59661.1446,109577.8487,87626.2206,68.08595,45.679237,27.777294,2.828072,1.24,17.596944,5.112325,1117,13.73,0.42,4419.9617,2154.9269,2585.3534,1154.8863,2225.9153,1071.029,Private Sector Bank,49.8008531974687,61.7864270744776,15.1,7.5,7.75,0.82903203301936,2009,1.10079156670041,TRUE,0.271759533681045,0,20.9382759740572,CAPPED_AT_150_SUSPECT,233.494328865166,15.1,7.5,7.66082415755608,7.3833652744116,38.7091453329433,49.8008531974687,150
2009,AXIS BANK LTD,494.61,897.77,327.13,1541.4811,7877.7292,190.8545,81556.7658,147722.0487,117374.1052,69.484462,43.147271,28.138738,2.865303,1.44,19.12364,6.057469,1060,13.69,0.4,7149.2742,2858.2127,3686.2114,1909.5184,3724.8768,1815.3584,Private Sector Bank,63.5619367989574,36.6999683743915,12.6,10.2,5,1.10079156670041,2010,1.26316661432927,TRUE,0.162375047628867,0,-8.77223391670746,CAPPED_AT_150_SUSPECT,212.695723849093,12.6,10.2,3.08669937408871,4.31239885000613,34.63759214019,63.5619367989574,150
2010,AXIS BANK LTD,897.77,1318,419,1900.7011,7581.3445,0.5,104340.9464,180647.8519,141300.2175,73.843444,46.729959,28.694793,3.048084,1.67,19.151475,4.418317,1111,15.8,0.4,6633.5261,3709.7223,5004.4954,2726.0217,5240.555,2514.5333,Private Sector Bank,68.2094081942337,27.9365916199684,15.5,13.9,5,1.26316661432927,2011,1.12312645710827,TRUE,-0.140040157221,0,-7.55213414634147,CAPPED_AT_150_SUSPECT,206.830174506829,15.5,13.9,7.86188237155002,6.85655166937235,36.237403409036,68.2094081942337,150
2011,AXIS BANK LTD,1318,1599.42,410.35,2208.2833,11677.8797,613.9415,142407.8286,242713.3716,189237.801,75.253373,41.095067,28.993571,3.100418,1.68,19.338797,4.53716,1366,12.65,0.29,8591.823,4779.4281,6562.9828,3027.1979,6415.6885,3388.4906,Private Sector Bank,74.3438246364307,36.4831674557247,19.9,10,6.75,1.12312645710827,2012,1.06403446598435,TRUE,-0.0590919911239256,0,-3.55581393035096,CAPPED_AT_150_SUSPECT,189.268478573483,19.9,10,8.49758687599316,8.02988178640115,40.1198616832315,74.3438246364307,150
2012,AXIS BANK LTD,1599.42,1806.3,472.64,3595.7442,7107.1772,1113.5275,169759.5386,285627.7934,220104.3033,77.12686,41.535776,28.557593,3.035064,1.68,20.294056,5.95279,1276,13.66,0.27,13976.9024,6007.0995,8017.745,3188.6564,7430.8618,4242.2054,Private Sector Bank,73.8338039085423,19.2066056121299,14.4,8.2,8.5,1.06403446598435,2013,1.21514399320255,TRUE,0.151109527218207,0,32.707176585578,CAPPED_AT_150_SUSPECT,176.529723744671,14.4,8.2,5.24131422482317,5.22332743548782,38.9523817758518,73.8338039085423,150
2013,AXIS BANK LTD,1806.3,2393.42,704.13,4053.8842,10738.2041,1866.8973,196965.9574,340560.6584,252613.5881,77.971244,44.37601,24.622658,3.087334,1.7,18.52563,6.352858,1215,17,0.36,17516.3111,6914.2375,9666.2633,4123.6992,9303.1321,5179.4329,Private Sector Bank,70.5805917891553,16.0264448315366,13.8,11.2,7.5,1.21514399320255,2014,1.36760739442835,TRUE,0.152463401225794,0,-14.7679001951705,CAPPED_AT_150_SUSPECT,172.293170442296,13.8,11.2,5.45638755164234,5.41917342231536,39.5016796432622,70.5805917891553,150
2014,AXIS BANK LTD,2393.42,3146.41,1024.62,4164.6443,12876.6753,5786.9914,230066.7584,383244.8882,280944.5649,81.890446,45.013273,27.279507,3.302443,1.78,17.433929,5.794644,1230,16.07,0.44,18689.522,7900.7739,11951.6334,5238.4176,11456.0842,6217.6666,Private Sector Bank,67.435267495336,16.8053411040867,13,11.9,8,1.36760739442835,2015,1.46226899730902,TRUE,0.0946616028806713,0,27.9990698266213,CAPPED_AT_150_SUSPECT,166.488715710921,13,11.9,6.38610640092723,6.05378518913893,35.1811624629026,67.435267495336,150
2015,AXIS BANK LTD,3146.41,4110.19,1316.71,4215.4312,15603.4085,11563.1527,281083.0297,461932.3942,322441.9369,87.173223,44.78335,24.822377,3.365954,1.83,17.751721,5.68021,1371,15.09,0.46,21254.4595,9203.7456,14224.1382,6027.6161,13385.4384,7357.8223,Private Sector Bank,67.9647412893321,22.1745512714626,11,6.5,7.5,1.46226899730902,2016,1.79692508258586,TRUE,0.334656085276837,0,9.38969814953596,ABOVE_100_SUSPECT,146.650546568407,11,6.5,7.41022760516221,7.15478063868049,34.7632630741904,67.9647412893321,146.650546568407
